IHME_code,IHME_original,short_label
a1_01_1,Did Decedent Have Asthma?,Asthma
a1_01_2,Did Decedent Have Arthritis?,Arthritis
a1_01_3,Did Decedent Have Cancer?,Cancer
a1_01_4,Did Decedent Have COPD?,COPD
a1_01_5,Did Decedent Have Dementia?,Dementia
a1_01_6,Did Decedent Have Depression?,Depression
a1_01_7,Did Decedent Have Diabetes?,Diabetes
a1_01_8,Did Decedent Have Epilepsy?,Epilepsy
a1_01_9,Did Decedent Have Heart Disease?,Heart Disease
a1_01_10,Did Decedent Have Hypertension?,Hypertension
a1_01_11,Did Decedent Have Obesity?,Obesity
a1_01_12,Did Decedent Have Stroke?,Stroke
a1_01_13,Did Decedent Have TB?,TB
a1_01_14,Did Decedent Have AIDS?,AIDS
a2_01,For how long was [name] ill before s/he died? > 528.8?,Duration of Illness
a2_02,Did [name] have a fever?,Fever
a2_03,How many days did the fever last? > 8.8?,Prolonged Fever
a2_04,Was there a moderate to severe fever?,Severe Fever
a2_05,What was the pattern of fever? Continusous?,Continuous Fever
a2_05_s1,What was the pattern of fever? On and off?,Intermittent Fever
a2_06,Did [name] have sweating with the fever?,Fever with Sweats
a2_07,Did [name] have a rash?,Rash
a2_08,How many days did [name] have the rash? > 3.1?,Prolonged Rash
a2_09_1a,Where was the rash located? Face?,Face Rash
a2_09_1a_s1,Where was the rash located? Trunk?,Trunk Rash
a2_09_1a_s2,Where was the rash located? Extremities?,Rash on Extermeties
a2_09_1a_s3,Where was the rash located? Everywhere?,Rash Everywhere
a2_09_1b,Was there a rash in other locations,Rash Somewhere
a2_10,Did [name] have sores?,Sores
a2_11,Did the sores have clear fluid or pus?,Weeping Sores
a2_12,Did [name] have itching of skin?,Itching
a2_13,Did [name] have an ulcer (pit) on the foot?,Foot Ulcer
a2_14,Did the ulcer ooze pus?,Weeping Ulcer
a2_15,For how many days did the ulcer ooze pus? > 0.3?,Prolonged Weeping Ulcer
a2_16,Did [name] experience 'pins and needles' in their feet?,Tingling feet
a2_17,Did [name] have blue lips?,Blue Lips
a2_18,Had [name] lost weight in the three months prior to death?,Weight Loss
a2_19,Was there moderate to large weight loss?,Significant Weight Loss
a2_20,Did [name] look pale?,Pale
a2_21,Did [name] have yellow discoloration of the eyes?,Jaundiced
a2_22,For how long did [name] have the yellow discoloration? > 54.1?,Prolonged Juandice
a2_23,Did [name] have ankle swelling?,Swollen Ankle
a2_24,For how long did [name] have ankle swelling? > 55.2?,Prolonged Swollen Ankle
a2_25,Did [name] have puffiness of the face?,Puffy Face
a2_26,For how long did [name] have puffiness of the face? > 36?,Prolonged Puffy Face
a2_27,Did [name] have general puffiness all over his/her body?,Puffy Body
a2_28,For how long did [name] have puffiness all over his/her body?  > 20.3?,Prolonged Puffy Body
a2_29,Did [name] have a lump in the neck?,Lump in Neck
a2_30,Did [name] have a lump in the armpit?,Lump in Armpit
a2_31,Did [name] have a lump in the groin?,Lump in Groin
a2_32,Did [name] have a cough?,Cough
a2_33,For how long did [name] have a cough? > 107?,Prolonged Cough
a2_34,Did the cough produce sputum?,Productive Cough
a2_35,Did [name] cough blood?,Bloody Cough
a2_36,Did [name] have difficulty breathing?,Trouble Breathing
a2_37,For how long did [name] have difficulty breathing? > 100.3?,Prolonged Trouble Breathing
a2_38,Was the breathing difficulty continuous?,Continuous Trouble Breathing
a2_38_s1,Was the breathing difficulty on and off?,Intermittent Trouble Breathing
a2_39_1,Did the breathing difficulty get worse in the lying position?,Increased Trouble Breathing Lying Down
a2_39_1_s1,Did the breathing difficulty get worse in the sitting position?,Increased Trouble Breathing Sitting
a2_39_1_s2,Did the breathing difficulty get worse in the walking position?,Increased Trouble Breathing Walking
a2_39_1_s3,Did the breathing difficulty not get worse in any position?,Trouble Breathing Same in All Positions
a2_40,Did [name] have fast breathing?,Fast Breathing
a2_41,For how long did [name] have fast breathing? > 43,Prolonged Fast Breathing
a2_42,Did [name] wheeze?,Wheezing
a2_43,Did [name] experience pain in the chest in the month preceding death?,Chest Pain Month before Dying
a2_44,Did the pain last more than 24 hours?,Chest Pain More than 24 Hours
a2_45,Was the pain during physical activity?,Chest Pain during Physical Activity
a2_46a,Was there pain located in the chest?,Chest Pain
a2_46a_s1,Was there pain located in the left arm?,Pain in Left Arm
a2_46b,Was there pain located in other places?,Pain Anywhere
a2_47,Did [name] have more frequent loose or liquid stools than usual?,Loose Stool
a2_48,For how long before death did [name] have loose or liquid stools? > 4.875348,Prolonged Loose Stool
a2_49,Did [name] have a change in bowel habits?,Change in Stool
